kepid,kepoi_name,pp_host_rel_prob,pp_host_prob_score,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_starid,pp_2hi_rel_prob,pp_unk_rel_prob
3832474,K00806.04,1.00000e+00,0.940,KIC 3832474,1.00000e+00,UKIRT 44117919556294,6.40000e-53,4.8100000e-06
3958301,K03381.02,3.20000e-98,0.940,KIC 3958295,9.90000e-01,KIC 3958301,3.20000e-98,6.6670000e-03
4049124,K05994.01,1.00000e+00,0.940,KIC 4049124,1.00000e+00,,,6.9190000e-07
4449752,K05060.01,1.00000e+00,0.940,KIC 4449752,1.00000e+00,KIC 4449756,4.90000e-07,3.8930000e-05
4458082,K02303.02,9.90000e-01,0.940,KIC 4458082,9.90000e-01,KIC 4458080,5.90000e-03,1.4290000e-04
4833421,K00232.05,1.00000e+00,0.940,KIC 4833421,1.00000e+00,UKIRT 44117917728934,2.80000e-05,8.5780000e-05
4940203,K07711.01,1.00000e+00,0.940,KIC 4940203,1.00000e+00,UKIRT 44117916857160,3.90000e-04,1.1000000e-04
5036538,K06504.01,1.00000e+00,0.940,,,,,9.1350000e-06
5084171,K04202.01,1.00000e+00,0.940,KIC 5084171,1.00000e+00,,,1.0100000e-04
5090803,K04654.01,1.00000e+00,0.940,KIC 5090803,1.00000e+00,,,8.1430000e-05
5193439,K06538.01,5.80000e-01,0.940,KIC 5193439,5.80000e-01,UKIRT 44117916670037,2.60000e-01,3.5020000e-04
5213811,K05141.01,1.00000e+00,0.940,KIC 5213811,1.00000e+00,KIC 5213809,1.40000e-10,3.8200000e-06
5640085,K00448.02,1.00000e+00,0.940,KIC 5640085,1.00000e+00,UKIRT 44117916049875,1.40000e-19,1.5860000e-04
5698524,K05193.01,1.00000e+00,0.940,KIC 5698524,1.00000e+00,,,2.1640000e-05
5881307,K07746.01,4.30000e-01,0.940,UKIRT 44117914680580,5.70000e-01,KIC 5881307,4.30000e-01,1.4970000e-05
5900235,K03426.01,3.80000e-01,0.940,UKIRT 44117915114811,5.50000e-01,KIC 5900235,3.80000e-01,1.9470000e-04
5983532,K04289.01,1.70000e-101,0.940,KIC 5983526,1.00000e+00,KIC 5983532,1.70000e-101,4.3760000e-06
6115516,K03134.01,5.10000e-04,0.940,UKIRT 44117915901380,1.00000e+00,KIC 6115516,5.10000e-04,1.9340000e-04
6342980,K05263.01,1.00000e+00,0.940,KIC 6342980,1.00000e+00,,,1.2280000e-04
6369845,K07777.01,1.90000e-08,0.940,UKIRT 44117914651121,1.00000e+00,KIC 6369845,1.90000e-08,2.9810000e-05
6422155,K00510.04,8.60000e-01,0.940,KIC 6422155,8.60000e-01,UKIRT 44117914427717,1.40000e-01,3.4600000e-05
6428602,K05282.01,1.00000e+00,0.940,KIC 6428602,1.00000e+00,UKIRT 44117914438147,5.20000e-06,1.4600000e-05
6685646,K04618.01,6.00000e-01,0.940,KIC 6685646,6.00000e-01,KIC 6685634,2.10000e-01,4.2840000e-05
6716545,K02906.02,9.90000e-01,0.940,KIC 6716545,9.90000e-01,UKIRT 44117913504845,3.70000e-03,7.2280000e-03
6779726,K03375.01,1.00000e+00,0.940,KIC 6779726,1.00000e+00,KIC 6779722,2.50000e-19,8.6580000e-05
